# NB: These mouse hotspot data by Smagulova et al. (2011) are provided 
#   as part of the hotspot software package for designing
#   allele-specific primers and oligos (Odenthal-Hesse et al., 2016). 
#   The hotspot coordinates by Smagulova et al. refer to mm9 and 
#   will therefore not match the current mouse assembly.
# References: 
#   1) Smagulova et al. (2011). Genome-wide analysis reveals novel
#   molecular features of mouse recombination hotspots. Nature, 
#   472:375-378.
#   2) Odenthal-Hesse et al. (2016). hotspot: software to support
#   sperm-typing for investigating recombination hotspots. 
#   Bioinformatics, 2016, 1-2; doi: 10.1093/bioinformatics/btw195.
# int   chr	start	end
int1	chr1	3645519	3648919
int2	chr1	4774108	4777508
int3	chr1	5015623	5019023
int4	chr1	5073256	5076656
int5	chr1	5271350	5274750
int6	chr1	5503789	5507189
int7	chr1	5513618	5517018
int8	chr1	5804507	5807907
int9	chr1	5883786	5887186
int10	chr1	6206107	6209507
int11	chr1	6386394	6389794
int12	chr1	6950638	6954038
int13	chr1	7458628	7462028
int14	chr1	8670937	8674337
int15	chr1	9072693	9076093
int16	chr1	9485410	9488810
int17	chr1	9635477	9638877
int18	chr1	9805901	9809301
int19	chr1	10320023	10323423
int20	chr1	10605084	10608484
int21	chr1	11130335	11133735
int22	chr1	11535313	11538713
int23	chr1	11542984	11546384
int24	chr1	11821833	11825233
int25	chr1	12114153	12117553
int26	chr1	12967758	12971158
int27	chr1	13315096	13318496
int28	chr1	13361088	13364488
int29	chr1	13834392	13837792
int30	chr1	13858428	13861828
int31	chr1	14383185	14386585
int32	chr1	14491506	14494906
int33	chr1	14635573	14638973
int34	chr1	15091746	15095146
int35	chr1	15995695	15999095
int36	chr1	16008012	16011412
int37	chr1	16293183	16296583
int38	chr1	16843035	16846435
int39	chr1	17079018	17082418
int40	chr1	18424346	18427746
int41	chr1	18969312	18972712
int42	chr1	19057218	19060618
int43	chr1	19155936	19159336
int44	chr1	19490998	19494398
int45	chr1	19703280	19706680
int46	chr1	20528256	20531656
int47	chr1	21047561	21050961
int48	chr1	21127523	21130923
int49	chr1	21440461	21443861
int50	chr1	21499929	21503329
int51	chr1	21609881	21613281
int52	chr1	21687494	21690894
int53	chr1	21804142	21807542
int54	chr1	21811186	21814586
int55	chr1	21880877	21884277
int56	chr1	21906752	21910152
int57	chr1	21942342	21945742
int58	chr1	21978043	21981443
int59	chr1	22050699	22054099
int60	chr1	22088130	22091530
int61	chr1	22113540	22116940
int62	chr1	22130707	22134107
int63	chr1	22270125	22273525
int64	chr1	22320384	22323784
int65	chr1	22358774	22362174
int66	chr1	22538681	22542081
int67	chr1	22850856	22854256
int68	chr1	22951340	22954740
int69	chr1	23261206	23264606
int70	chr1	23516985	23520385
int71	chr1	23748441	23751841
int72	chr1	23902505	23905905
int73	chr1	24037715	24041115
int74	chr1	24089062	24092462
int75	chr1	24105550	24108950
int76	chr1	24181028	24184428
int77	chr1	24335777	24339177
int78	chr1	24736411	24739811
int79	chr1	24820694	24824094
int80	chr1	24888464	24891864
int81	chr1	25267628	25271028
int82	chr1	26170832	26174232
int83	chr1	30385149	30388549
int84	chr1	30495592	30498992
int85	chr1	30712331	30715731
int86	chr1	30828988	30832388
int87	chr1	30907456	30910856
int88	chr1	31137845	31141245
int89	chr1	31190871	31194271
int90	chr1	31460830	31464230
int91	chr1	32366693	32370093
int92	chr1	32800869	32804269
int93	chr1	32921737	32925137
int94	chr1	33422641	33426041
int95	chr1	33820020	33823420
int96	chr1	33826389	33829789
int97	chr1	33955835	33959235
int98	chr1	34060386	34063786
int99	chr1	34255668	34259068
int100	chr1	34494716	34498116
int101	chr1	34505526	34508926
int102	chr1	34514857	34518257
int103	chr1	34534408	34537808
int104	chr1	34538833	34542233
int105	chr1	34694340	34697740
int106	chr1	34947727	34951127
int107	chr1	35154081	35157481
int108	chr1	35287145	35290545
int109	chr1	35524866	35528266
int110	chr1	35530585	35533985
int111	chr1	35859790	35863190
int112	chr1	35943666	35947066
int113	chr1	36165670	36169070
int114	chr1	36492507	36495907
int115	chr1	36705929	36709329
int116	chr1	36789311	36792711
int117	chr1	36942073	36945473
int118	chr1	36969838	36973238
int119	chr1	37096150	37099550
int120	chr1	37246356	37249756
int121	chr1	37573920	37577320
int122	chr1	37709512	37712912
int123	chr1	37985437	37988837
int124	chr1	38166430	38169830
int125	chr1	38279249	38282649
int126	chr1	38663631	38667031
int127	chr1	38798207	38801607
int128	chr1	38906561	38909961
int129	chr1	39091153	39094553
int130	chr1	39188378	39191778
int131	chr1	39208229	39211629
int132	chr1	39580696	39584096
int133	chr1	39607158	39610558
int134	chr1	39682780	39686180
int135	chr1	39733212	39736612
int136	chr1	39965593	39968993
int137	chr1	40094146	40097546
int138	chr1	40163945	40167345
int139	chr1	40288487	40291887
int140	chr1	40350575	40353975
int141	chr1	40459875	40463275
int142	chr1	40880702	40884102
int143	chr1	40921722	40925122
int144	chr1	41838784	41842184
int145	chr1	42077033	42080433
int146	chr1	42114954	42118354
int147	chr1	42267306	42270706
int148	chr1	42637669	42641069
int149	chr1	42880364	42883764
int150	chr1	42897297	42900697
int151	chr1	43105489	43108889
int152	chr1	43153110	43156510
int153	chr1	43228813	43232213
int154	chr1	43259717	43263117
int155	chr1	43589738	43593138
int156	chr1	43613758	43617158
int157	chr1	43654335	43657735
int158	chr1	43692037	43695437
int159	chr1	43741638	43745038
int160	chr1	43989063	43992463
int161	chr1	44081718	44085118
int162	chr1	44274577	44277977
int163	chr1	44519166	44522566
int164	chr1	44654153	44657553
int165	chr1	45833757	45837157
int166	chr1	46306674	46310074
int167	chr1	46627698	46631098
int168	chr1	46860550	46863950
int169	chr1	46963056	46966456
int170	chr1	47100430	47103830
int171	chr1	47150645	47154045
int172	chr1	50098229	50101629
int173	chr1	50444885	50448285
int174	chr1	50484389	50487789
int175	chr1	50517254	50520654
int176	chr1	50659276	50662676
int177	chr1	51023119	51026519
int178	chr1	51077364	51080764
int179	chr1	51305460	51308860
int180	chr1	51327274	51330674
int181	chr1	51609934	51613334
int182	chr1	51644511	51647911
int183	chr1	51946275	51949675
int184	chr1	52034440	52037840
int185	chr1	52261667	52265067
int186	chr1	52395123	52398523
int187	chr1	52407613	52411013
int188	chr1	52429820	52433220
int189	chr1	52622999	52626399
int190	chr1	53001940	53005340
int191	chr1	53267450	53270850
int192	chr1	53861402	53864802
int193	chr1	53963047	53966447
int194	chr1	54221039	54224439
int195	chr1	54612303	54615703
int196	chr1	54648298	54651698
int197	chr1	55186465	55189865
int198	chr1	55204378	55207778
int199	chr1	55364143	55367543
int200	chr1	55485735	55489135
int201	chr1	55682148	55685548
int202	chr1	55737837	55741237
int203	chr1	55862443	55865843
int204	chr1	55868690	55872090
int205	chr1	56821383	56824783
int206	chr1	56934356	56937756
int207	chr1	57275536	57278936
int208	chr1	57551191	57554591
int209	chr1	58475292	58478692
int210	chr1	58493407	58496807
int211	chr1	58651590	58654990
int212	chr1	59055238	59060479
int213	chr1	59304538	59307938
int214	chr1	59414339	59417739
int215	chr1	59422546	59425946
int216	chr1	60022569	60025969
int217	chr1	60136345	60139745
int218	chr1	60161241	60164641
int219	chr1	60315815	60319215
int220	chr1	60717770	60721170
int221	chr1	60814838	60818238
int222	chr1	60985782	60989182
int223	chr1	61591211	61594611
int224	chr1	61603151	61606551
int225	chr1	61841661	61845061
int226	chr1	61918034	61921434
int227	chr1	62060667	62064067
int228	chr1	62168302	62171702
int229	chr1	62234250	62237650
int230	chr1	62821320	62824720
int231	chr1	62978447	62981847
int232	chr1	63196831	63200231
int233	chr1	63296586	63299986
int234	chr1	63344812	63348212
int235	chr1	63593245	63596645
int236	chr1	63726139	63729539
int237	chr1	63893765	63897165
int238	chr1	64504378	64507778
int239	chr1	64739349	64742749
int240	chr1	64758970	64762370
int241	chr1	65204932	65208332
int242	chr1	65391799	65395199
int243	chr1	65453837	65457237
int244	chr1	65944196	65947596
int245	chr1	66241994	66245394
int246	chr1	66387167	66390567
int247	chr1	66538789	66542189
int248	chr1	66983632	66987032
int249	chr1	67088687	67092087
int250	chr1	68007538	68010938
int251	chr1	68533468	68536868
int252	chr1	68981842	68985242
int253	chr1	69309636	69313036
int254	chr1	69354122	69357522
int255	chr1	69581712	69585112
int256	chr1	69994127	69997527
int257	chr1	70682077	70685477
int258	chr1	70841676	70845076
int259	chr1	71044277	71047677
int260	chr1	71353943	71357343
int261	chr1	71517667	71521067
int262	chr1	71667838	71671238
int263	chr1	72005864	72009264
int264	chr1	72025993	72029393
int265	chr1	72068407	72071807
int266	chr1	72196151	72199551
int267	chr1	72288932	72292332
int268	chr1	72332038	72335438
int269	chr1	72458805	72462205
int270	chr1	72609020	72612420
int271	chr1	73186006	73189406
int272	chr1	73643685	73647085
int273	chr1	74788409	74791809
int274	chr1	75056916	75060316
int275	chr1	75120021	75123421
int276	chr1	75127517	75130917
int277	chr1	75369775	75373175
int278	chr1	76626520	76629920
int279	chr1	76964485	76967885
int280	chr1	76969962	76973362
int281	chr1	77390449	77393849
int282	chr1	77471170	77474570
int283	chr1	77527527	77530927
int284	chr1	77930801	77934201
int285	chr1	78220843	78224243
int286	chr1	78266301	78269701
int287	chr1	78305063	78308463
int288	chr1	78417547	78420947
int289	chr1	78928176	78931576
int290	chr1	79849646	79853046
int291	chr1	80233496	80236896
int292	chr1	80292766	80296166
int293	chr1	80453802	80457202
int294	chr1	81114512	81117912
int295	chr1	81408070	81411470
int296	chr1	81964700	81968100
int297	chr1	82049714	82053114
int298	chr1	82187751	82191151
int299	chr1	82366146	82369546
int300	chr1	82399017	82402417
int301	chr1	82658064	82661464
int302	chr1	82874571	82877971
int303	chr1	82892749	82896149
